,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1496,10,MED,raxml,40,1,0.02,INT,REF,25_0_0,NA,21263,0.433752881418168,-12.8500243929932,30.6804400110782,-1152.73317612914,0.458111181631332,-207,-11,959,-201,-5,0.149270989784015,0.0745097851375719,0.0499988554380722,80,-12.0084491783257,0.366,858,85.2040816326531,21.6032448802047,1169529.94960576
1497,10,MED,raxml,40,1,0.03,INT,REF,25_0_0,NA,18160,0.370453479121193,-12.8416671639379,33.7795619612274,-517.30363547279,0.450229698936599,-215,-19,859,-203,-7,0.168622490247811,0.0829933239227351,0.0552132911430332,84,-11.9556930390654,0.358,856,81.0408163265306,26.154544012898,1169528.61786858
1498,10,MED,raxml,40,1,0.04,INT,REF,25_0_0,NA,16350,0.333530527733012,-12.6717203139452,30.9735522943626,-442.379305233106,0.458111181631332,-207,-11,961,-199,-3,0.185984458071144,0.0898074243587457,0.0592896635083505,82,-11.8930490857795,0.366,860,78.969387755102,28.9291541605702,1169527.46902595
1499,10,MED,raxml,40,1,0.05,INT,REF,25_0_0,NA,15041,0.306827686093715,-12.5564038035831,58.1167201191511,-207.747683518755,0.462051922978698,-171,3,913,-215,3,0.197349443287756,0.0959306021938808,0.0637615036720371,86,-11.7635664591119,0.386,828,80.0102040816327,26.004953888866,1169526.25369069
1500,10,MED,raxml,40,1,0.1,INT,REF,25_0_0,NA,11269,0.229881071377573,-12.2664960549806,-223.326585901271,-76.4652062544517,0.459096366968173,-174,5,826,-220,7,0.237780303090009,0.116898435439713,0.0756142185875255,86,-11.4209715929172,0.383,823,77.6224489795918,27.3727667002674,1169522.59879547
1501,10,MED,raxml,40,0.25,0.01,EXT,REF,0_0_0,NA,30850,0.629322127251586,-12.9090660909229,15.9925477558496,311.082941805231,0.451214884273441,-182,-8,822,-224,-6,0.124937083569798,0.0612008792507187,0.0411009307250854,76,-12.050864038904,0.375,819,85.4591836734694,23.1975684680937,1169532.08935466
1502,10,MED,raxml,40,0.25,0.02,EXT,REF,0_0_0,NA,22677,0.462597662226393,-12.880214072673,142.705945854508,498.151704752214,0.269940782294591,-215,-14,659,-335,-8,0.143738673502422,0.0747114343238495,0.0499960934744688,86,-11.9876886803709,0.275,641,81.8061224489796,26.2170394592042,1169529.845177
1503,10,MED,raxml,40,0.25,0.03,EXT,REF,0_0_0,NA,19408,0.395911956100447,-12.6936380454808,172.807667622302,-2101.3584424257,0.298511157062997,-203,-2,665,-329,-2,0.163058064269921,0.0834482908318548,0.0555435351633528,84,-11.8297291591367,0.287,647,83.530612244898,24.7349679777113,1169528.28112037
1504,10,MED,raxml,40,0.25,0.04,EXT,REF,0_0_0,NA,17462,0.356214683502989,-12.6455879822278,187.557145807893,-3694.42382343762,0.266985226284066,-235,-15,629,-365,-9,0.178161656353046,0.0901932790295071,0.0596633244970767,84,-11.8250930880106,0.255,611,82.1938775510204,26.4640032361663,1169527.07068233
1505,10,MED,raxml,40,0.25,0.05,EXT,REF,0_0_0,NA,16075,0.327920687052488,-12.6369778882751,-2136.11970387889,-260.227804876159,0.460081552305015,-205,-9,863,-199,-3,0.188519605591193,0.0959115098050684,0.0631140316690227,78,-11.7525672208704,0.368,860,80.2755102040816,26.9917057180916,1169526.16945871
