,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
315,315,6,Lates,astral,40,0.25,4,INT,REF,0.0389125,0.766041666666667,0.212760374483489,0.626007566977228,0.806101730552664,0.966467822701685,1.30956175875749
316,316,6,Lates,astral,40,0,4,INT,REF,0.0389125,0.762708333333333,0.218220458343658,0.653464039213071,0.834386001800126,0.982941706043191,1.32653232150596
317,317,1,Lates,astral,40,0,5,INT,REF,0.0397409,0.721041666666667,0.247302378298424,0.260836486240512,0.970150503787943,0.496962147468764,1.46795367774327
318,318,7,Lates,astral,40,0,4,INT,REF,0.0393079,0.79625,0.225082727108397,0.793492047615872,0.907925107043527,1.12846100889316,1.41138513524835
319,319,10,Lates,astral,40,0.25,4,INT,REF,0.0378395,0.819583333333333,0.209466986515098,0.711122630908342,0.828729147550634,1.04060029773846,1.32087546725647
320,320,5,Lates,astral,40,0.25,4,INT,REF,0.0398327,0.729583333333333,0.238478852564682,0.529909914151776,0.854184991673349,0.755052986485692,1.34633131137919
321,321,2,Lates,astral,40,0,5,INT,REF,0.0360989,0.816875,0.223846036088068,0.944502644913011,1.00692005640964,1.21906736727144,1.482095813367
322,322,6,Lates,astral,40,0.25,3,INT,REF,0.0389125,0.770208333333333,0.218792523729026,0.359679786289548,0.820243866176395,0.590314153070632,1.31804704013172
323,323,5,Lates,astral,40,0,4,INT,REF,0.0398327,0.745625,0.237459123022012,0.49421650024518,0.871155554421827,0.74132475036777,1.36895872837716
324,324,1,Lates,astral,40,0.25,4,INT,REF,0.0397409,0.704583333333333,0.257334605700011,0.31025813626503,1.01540533778388,0.540892503046114,1.50189480324023
325,325,3,Lates,astral,40,0.25,3,INT,REF,0.0410177,0.798958333333333,0.237184187188949,0.884098405994155,1.00974848353439,1.23004995616578,1.47926738624226
326,326,2,Lates,astral,40,0.25,3,INT,REF,0.0360989,0.8,0.230734258124667,0.505199089139517,0.944694659665227,0.77976381149795,1.42552727087208
327,327,3,Lates,astral,40,0.25,4,INT,REF,0.0410177,0.822291666666667,0.247878140817288,0.2278887195575,1.0776307345283,0.414592730761234,1.53017907448769
328,328,10,Lates,astral,40,0,4,INT,REF,0.0378395,0.801875,0.234454153300811,0.650718391989487,0.817415439051649,0.980196058819607,1.31521861300698
329,329,7,Lates,astral,40,0,3,INT,REF,0.0393079,0.802916666666667,0.211106087410676,0.798983342063041,0.896611398544542,1.1394435977875,1.40572828099886
330,330,4,Lates,astral,40,0,5,INT,REF,0.0408547,0.847916666666667,0.202389537335049,0.746816044814939,0.842871283174365,1.08178500609223,1.3350176028802
331,331,1,Lates,astral,40,0.25,10,INT,REF,0.0397409,0.7125,0.251645647518278,0.873115817099818,1.03237590053236,1.28496290063747,1.5188653659887
332,332,8,Lates,astral,40,0,4,INT,REF,0.0382194,0.83,0.211901221467868,0.406355789090481,0.840042856049618,0.626007566977228,1.32653232150596
333,333,1,Lates,astral,40,0,10,INT,REF,0.0397409,0.707083333333333,0.242205806045746,1.14218924501108,1.03803275478185,1.61444056746759,1.5188653659887
334,334,1,Lates,astral,40,0,4,INT,REF,0.0397409,0.704791666666667,0.293931455197653,1.04334594496205,1.23602265351409,1.33987584510915,1.66594357647551
335,335,5,Lates,astral,40,0.25,3,INT,REF,0.0398327,0.732083333333333,0.226283181023655,0.527164266928192,0.882469262920811,0.752307339262107,1.36895872837716
336,336,2,Lates,astral,40,0,4,INT,REF,0.0360989,0.827708333333333,0.175053056800033,0.793492047615872,0.964493649538451,1.11198712555165,1.4509831149948
337,337,4,Lates,astral,40,0.25,4,INT,REF,0.0408547,0.815625,0.21961190381642,0.746816044814939,0.806101730552664,1.08178500609223,1.30956175875749
338,338,8,Lates,astral,40,0.25,3,INT,REF,0.0382194,0.833541666666667,0.194875733272359,0.425575319655572,0.854184991673349,0.694648747566836,1.34067445712969
339,339,10,Lates,astral,40,0.25,3,INT,REF,0.0378395,0.80875,0.223546130229144,0.74132475036777,0.865498700172334,1.05432853385638,1.35764501987817
340,340,8,Lates,astral,40,0,3,INT,REF,0.0382194,0.839375,0.172816545824288,0.727596514249848,0.834386001800126,1.0515828866328,1.32653232150596
341,341,3,Lates,astral,40,0,4,INT,REF,0.0410177,0.816458333333333,0.225581891374977,0.282801664029186,1.03237590053236,0.491470853021596,1.50189480324023
342,342,2,Lates,astral,40,0,3,INT,REF,0.0360989,0.800416666666667,0.210823696973736,0.864878875429065,0.905096679918781,1.19435654225918,1.39724299962462
343,343,9,Lates,astral,40,0,3,INT,REF,0.0392779,0.769583333333333,0.261777543478243,1.01314382550262,1.07480230740355,1.34262149233274,1.52735064736294
344,344,10,Lates,astral,40,0,3,INT,REF,0.0378395,0.808958333333333,0.222531275194558,0.370662375183885,0.797616449178426,0.672683569778162,1.31804704013172
345,345,3,Lates,astral,40,0,3,INT,REF,0.0410177,0.827291666666667,0.210002427375367,0.26632778068768,1.06066017177982,0.485979558574427,1.5188653659887
346,346,6,Lates,astral,40,0,3,INT,REF,0.0389125,0.765416666666667,0.248304534481293,0.323986372382951,0.752361615182487,0.620516272530059,1.29541962313375
347,347,5,Lates,astral,40,0,3,INT,REF,0.0398327,0.765208333333333,0.242548434148319,0.510690383586686,0.876812408671319,0.735833455920601,1.36895872837716
348,348,1,Lates,astral,40,0,3,INT,REF,0.0397409,0.678541666666667,0.304868228132783,0.326732019606536,1.08894444302728,0.568348975281957,1.54149278298667
349,349,4,Lates,astral,40,0,4,INT,REF,0.0408547,0.813541666666667,0.23705183546017,0.895080994888492,0.783474313554695,1.40028008402801,1.2982480502585
350,350,7,Lates,astral,40,0.25,2,INT,REF,0.0393079,0.796875,0.251067137329457,0.738579103144186,0.834386001800126,1.08453065331581,1.34915973850393
351,351,4,Lates,astral,40,0,3,INT,REF,0.0408547,0.845208333333333,0.233465926105893,0.735833455920601,0.794788022053679,1.07629371164506,1.30390490450799
352,352,5,Lates,astral,40,0.75,10,INT,REF,0.0398327,0.67875,0.246797574042355,1.01314382550262,0.905096679918781,1.50186903130063,1.40289985387411
353,353,2,Lates,astral,40,0.75,10,INT,REF,0.0360989,0.7375,0.221277720946403,0.895080994888492,0.95035151391472,1.17513701169409,1.43684097937106
354,354,10,Lates,astral,40,0.75,10,INT,REF,0.0378395,0.70125,0.216191650595563,0.74132475036777,0.89095454429505,1.07080241719789,1.3717871555019
355,355,9,Lates,astral,40,0.75,10,INT,REF,0.0392779,0.7,0.243301756427797,0.996669942161113,1.1511698397717,1.30967372564973,1.5980613254816
356,356,8,Lates,astral,40,0.75,10,INT,REF,0.0382194,0.755,0.234874343951843,0.41184708353765,0.857013418798096,0.65895533366024,1.33784603000495
357,357,6,Lates,astral,40,0.75,10,INT,REF,0.0389125,0.711458333333333,0.231084304256604,0.323986372382951,0.984292639411674,0.532655561375361,1.45381154211954
358,358,7,Lates,astral,40,0.75,10,INT,REF,0.0393079,0.697708333333333,0.223313914949179,0.90606358378283,0.967322076663197,1.25201513395446,1.45381154211954
359,359,5,Lates,astral,40,0.5,10,INT,REF,0.0398327,0.686666666666667,0.225740703569886,0.524418619704608,0.823072293301141,0.815457225404547,1.32653232150596
360,360,7,Lates,astral,40,0.5,10,INT,REF,0.0393079,0.694791666666667,0.249399189400765,0.796237694839457,0.930552524041496,1.1037501838809,1.41704198949784
361,361,2,Lates,astral,40,0.5,10,INT,REF,0.0360989,0.769166666666667,0.211638323896793,0.944502644913011,0.98712106653642,1.26299772284879,1.46229682349378
362,362,9,Lates,astral,40,0.5,10,INT,REF,0.0392779,0.732916666666667,0.268272315867651,0.98843300049036,1.06066017177982,1.31791066732048,1.5245222202382
363,363,6,Lates,astral,40,0.25,2,INT,REF,0.0389125,0.802916666666667,0.20695315878014,0.321240725159367,0.797616449178426,0.568348975281957,1.30107647738325
364,364,10,Lates,astral,40,0.5,10,INT,REF,0.0378395,0.764791666666667,0.228798802103446,0.807220283733794,0.916410388417766,1.13669795056391,1.40289985387411
365,365,6,Lates,astral,40,0.5,10,INT,REF,0.0389125,0.738541666666667,0.229930512938457,0.334968961277289,0.995606347910659,0.554620739164035,1.46512525061853
366,366,8,Lates,astral,40,0.5,10,INT,REF,0.0382194,0.767708333333333,0.224074831567144,0.529909914151776,0.876812408671319,0.80447463651021,1.35198816562868
