,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
9371,1,10000000,raxml,40,0.25,0.03,EXT,NOREF,0_0_0,0.213791,77170,0.0990105361477627,-24.8612209171963,947,1365,1.00000050002909e-06,9.33104373097076e-05,0.00023076392752533,90,-24.8612209171963,947,1268,68.6701030927835,37.6548806181119,443295635.415694,-20.8336423565619,544,445
9372,1,10000000,raxml,40,0.25,0.03,EXT,REF,0_0_0,0.213791,77170,0.0990105361477627,-29.4670606346162,678,1106,1.00000050002909e-06,0.000107481533096975,0.000266028945125705,80,-29.0976346784222,662,1083,65.1428571428571,39.8701500621628,653295635.422783,-31.938659156072,79,163
9373,1,10000000,raxml,40,0.25,0.04,EXT,NOREF,0_0_0,0.213791,37554,0.0481824760203846,-25.8939430647117,845,1360,1.00000050002909e-06,9.93385834983856e-05,0.000309111932764973,124,-25.8939430647117,944,1360,NA,NA,443295635.418246,-21.8663645040773,541,442
9374,1,10000000,raxml,40,0.25,0.04,EXT,REF,0_0_0,0.213791,37554,0.0481824760203846,-25.7795152732326,860,1386,1.00000050002909e-06,0.00012494066025972,0.000387745431040673,118,-25.5764738596348,942,1267,NA,NA,653295635.425227,-28.2511137946883,458,440
9375,1,10000000,raxml,40,0.25,0.04,EXT,NOREF,0_0_0,0.213791,37554,0.0481824760203846,-25.8939430647117,944,1360,1.00000050002909e-06,9.93385834983856e-05,0.000309111932764973,124,-25.8939430647117,845,1263,51.7525773195876,42.4909379867821,443295635.418246,-21.8663645040773,541,442
9376,1,10000000,raxml,40,0.25,0.04,EXT,REF,0_0_0,0.213791,37554,0.0481824760203846,-25.7795152732326,860,1386,1.00000050002909e-06,0.00012494066025972,0.000387745431040673,118,-25.5764738596348,942,1364,52.9489795918367,41.4162606766059,653295635.425227,-28.2511137946883,458,440
9377,1,10000000,raxml,40,0.25,0.05,EXT,NOREF,0_0_0,0.213791,23825,0.030567915300252,-28.8072864766705,935,1338,1.00000050002909e-06,0.000103444729475535,0.000381711719153152,124,-28.8072864766705,935,1341,NA,NA,443295635.42027,-24.7797079160361,436,436
9378,1,10000000,raxml,40,0.25,0.05,EXT,REF,0_0_0,0.213791,23825,0.030567915300252,-29.0410475039222,728,1142,1.00000050002909e-06,0.000140378962061577,0.000515156450890056,122,-28.8112782679858,806,1217,NA,NA,653295635.429123,-31.512646025378,320,310
9379,1,10000000,raxml,40,0.25,0.05,EXT,NOREF,0_0_0,0.213791,23825,0.030567915300252,-28.8072864766705,839,1247,1.00000050002909e-06,0.000103444729475535,0.000381711719153152,124,-28.8072864766705,935,1247,42.5876288659794,42.1541695687092,443295635.42027,-24.7797079160361,532,532
9380,1,10000000,raxml,40,0.25,0.05,EXT,REF,0_0_0,0.213791,23825,0.030567915300252,-29.0410475039222,822,1234,1.00000050002909e-06,0.000140378962061577,0.000515156450890056,122,-28.8112782679858,713,1217,44.5204081632653,42.2162399962303,653295635.429123,-31.512646025378,323,403
9381,1,10000000,raxml,40,0.25,0,EXT,NOREF,0_0_0,0.213791,474871,0.609268268900145,-29.9256726169819,780,1192,5.27591338592841e-05,3.13778973385532e-05,2.94616743904299e-05,28,-29.9256726169819,683,1192,NA,NA,443295635.399869,-25.8980940563475,280,377
9382,1,10000000,raxml,40,0.25,0,EXT,REF,0_0_0,0.213791,682509,0.875671660174593,4400.69669295626,687,1025,9.39993295317824e-05,3.99246263545923e-05,0.00017166502010447,20,-1543.64840134295,576,1099,NA,NA,653295635.39767,4398.2250944348,185,270
9383,1,10000000,raxml,40,0.25,0,EXT,NOREF,0_0_0,0.213791,474871,0.609268268900145,-29.9256726169819,683,1190,5.27591338592841e-05,3.13778973385532e-05,2.94616743904299e-05,28,-29.9256726169819,778,1097,90.7835051546392,24.3234398284024,443295635.399869,-25.8980940563475,280,375
9384,1,10000000,raxml,40,0.25,0,EXT,REF,0_0_0,0.213791,682509,0.875671660174593,4400.69669295626,591,1025,9.39993295317824e-05,3.99246263545923e-05,0.00017166502010447,20,-1543.64840134295,673,1099,91.9183673469388,22.5048326857629,653295635.39767,4398.2250944348,89,268
9385,1,10000000,raxml,40,0.5,0.01,EXT,NOREF,0_0_0,0.213791,193494,0.248256377884867,-26.1312380456534,653,1105,1.00000050002909e-06,7.82221742119706e-05,0.000131003781663985,34,-26.1312380456534,653,1008,NA,NA,443295635.410451,-22.103659485019,250,250
9386,1,10000000,raxml,40,0.5,0.01,EXT,REF,0_0_0,0.213791,193494,0.248256377884867,-28.1537447215978,503,897,1.00000050002909e-06,0.000106044364231569,0.000178165374224543,30,-27.8382016902097,484,970,NA,NA,653295635.414229,-30.6253432430536,-97,-14
9387,1,10000000,raxml,40,0.5,0.01,EXT,NOREF,0_0_0,0.213791,193494,0.248256377884867,-26.1312380456534,653,1008,1.00000050002909e-06,7.82221742119706e-05,0.000131003781663985,34,-26.1312380456534,653,1008,93.3814432989691,20.52815307641,443295635.410451,-22.103659485019,250,250
